Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Sao Paulo,Brazil,-23.55,-46.633,03/19/20,45
Tocantins,Brazil,-10.184,-48.334,03/19/20,0
Brazil,Brazil,-14.2,-51.9,03/19/20,129
Acre,Brazil,-9.975,-67.81,03/20/20,3
Alagoas,Brazil,-9.666,-35.735,03/20/20,2
Amazonas,Brazil,-3.1,-60.017,03/20/20,4
Amapa,Brazil,0.034,-51.066,03/20/20,1
Bahia,Brazil,-12.975,-38.477,03/20/20,3
Ceara,Brazil,-3.728,-38.528,03/20/20,44
Distrito Federal,Brazil,-15.794,-47.883,03/20/20,45
Espirito Santo,Brazil,-20.289,-40.308,03/20/20,3
Goias,Brazil,-16.667,-49.25,03/20/20,3
Maranhao,Brazil,-2.528,-44.304,03/20/20,1
Minas Gerais,Brazil,-19.917,-43.933,03/20/20,9
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/20/20,3
Mato Grosso,Brazil,-15.596,-56.096,03/20/20,1
Para,Brazil,-1.456,-48.504,03/20/20,1
Paraiba,Brazil,-7.083,-34.833,03/20/20,0
Pernambuco,Brazil,-8.05,-34.9,03/20/20,3
Piaui,Brazil,-5.095,-42.8042,03/20/20,1
Parana,Brazil,-25.417,-49.25,03/20/20,13
Rio de Janeiro,Brazil,-22.911,-43.206,03/20/20,43
Rio Grande do Norte,Brazil,-5.783,-35.2,03/20/20,5
Rondonia,Brazil,-8.762,-63.904,03/20/20,1
Rio Grande do Sul,Brazil,-30.033,-51.23,03/20/20,12
Santa Catarina,Brazil,-27.612,-48.485,03/20/20,19
Sergipe,Brazil,-10.917,-37.05,03/20/20,1
Sao Paulo,Brazil,-23.55,-46.633,03/20/20,110
Tocantins,Brazil,-10.184,-48.334,03/20/20,0
Brazil,Brazil,-14.2,-51.9,03/20/20,331
Acre,Brazil,-9.975,-67.81,03/21/20,4
Alagoas,Brazil,-9.666,-35.735,03/21/20,1
Amazonas,Brazil,-3.1,-60.017,03/21/20,4
Amapa,Brazil,0.034,-51.066,03/21/20,0
Bahia,Brazil,-12.975,-38.477,03/21/20,7
Ceara,Brazil,-3.728,-38.528,03/21/20,16
Distrito Federal,Brazil,-15.794,-47.883,03/21/20,21
Espirito Santo,Brazil,-20.289,-40.308,03/21/20,10
Goias,Brazil,-16.667,-49.25,03/21/20,2
Maranhao,Brazil,-2.528,-44.304,03/21/20,1
Minas Gerais,Brazil,-19.917,-43.933,03/21/20,17
Mato Grosso do Sul,Brazil,-20.484,-54.615,03/21/20,4
Mato Grosso,Brazil,-15.596,-56.096,03/21/20,1
Para,Brazil,-1.456,-48.504,03/21/20,0
Paraiba,Brazil,-7.083,-34.833,03/21/20,0
Pernambuco,Brazil,-8.05,-34.9,03/21/20,2
Piaui,Brazil,-5.095,-42.8042,03/21/20,0
Parana,Brazil,-25.417,-49.25,03/21/20,7
