Province_State,Country_Region,Lat,Long,Date,Confirmed Cases
Pernambuco,Brazil,-8.05,-34.9,2020-03-18,1
Parana,Brazil,-25.417,-49.25,2020-03-18,3
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-18,30
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-18,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-18,9
Santa Catarina,Brazil,-27.612,-48.485,2020-03-18,7
Sergipe,Brazil,-10.917,-37.05,2020-03-18,1
Sao Paulo,Brazil,-23.55,-46.633,2020-03-18,77
Tocantins,Brazil,-10.184,-48.334,2020-03-18,1
Brazil,Brazil,-14.2,-51.9,2020-03-18,181
Acre,Brazil,-9.975,-67.81,2020-03-19,1
Alagoas,Brazil,-9.666,-35.735,2020-03-19,3
Amazonas,Brazil,-3.1,-60.017,2020-03-19,1
Bahia,Brazil,-12.975,-38.477,2020-03-19,4
Ceara,Brazil,-3.728,-38.528,2020-03-19,5
Distrito Federal,Brazil,-15.794,-47.883,2020-03-19,8
Espirito Santo,Brazil,-20.289,-40.308,2020-03-19,4
Goias,Brazil,-16.667,-49.25,2020-03-19,3
Minas Gerais,Brazil,-19.917,-43.933,2020-03-19,10
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-19,2
Para,Brazil,-1.456,-48.504,2020-03-19,0
Paraiba,Brazil,-7.083,-34.833,2020-03-19,0
Pernambuco,Brazil,-8.05,-34.9,2020-03-19,9
Piaui,Brazil,-5.095,-42.8042,2020-03-19,3
Parana,Brazil,-25.417,-49.25,2020-03-19,9
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-19,3
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-19,0
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-19,12
Santa Catarina,Brazil,-27.612,-48.485,2020-03-19,7
Sergipe,Brazil,-10.917,-37.05,2020-03-19,0
Sao Paulo,Brazil,-23.55,-46.633,2020-03-19,45
Tocantins,Brazil,-10.184,-48.334,2020-03-19,0
Brazil,Brazil,-14.2,-51.9,2020-03-19,129
Acre,Brazil,-9.975,-67.81,2020-03-20,3
Alagoas,Brazil,-9.666,-35.735,2020-03-20,2
Amazonas,Brazil,-3.1,-60.017,2020-03-20,4
Amapa,Brazil,0.034,-51.066,2020-03-20,1
Bahia,Brazil,-12.975,-38.477,2020-03-20,3
Ceara,Brazil,-3.728,-38.528,2020-03-20,44
Distrito Federal,Brazil,-15.794,-47.883,2020-03-20,45
Espirito Santo,Brazil,-20.289,-40.308,2020-03-20,3
Goias,Brazil,-16.667,-49.25,2020-03-20,3
Maranhao,Brazil,-2.528,-44.304,2020-03-20,1
Minas Gerais,Brazil,-19.917,-43.933,2020-03-20,9
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-20,3
Mato Grosso,Brazil,-15.596,-56.096,2020-03-20,1
Para,Brazil,-1.456,-48.504,2020-03-20,1
Paraiba,Brazil,-7.083,-34.833,2020-03-20,0
Pernambuco,Brazil,-8.05,-34.9,2020-03-20,3
Piaui,Brazil,-5.095,-42.8042,2020-03-20,1
Parana,Brazil,-25.417,-49.25,2020-03-20,13
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-20,43
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-20,5
Rondonia,Brazil,-8.762,-63.904,2020-03-20,1
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-20,12
Santa Catarina,Brazil,-27.612,-48.485,2020-03-20,19
Sergipe,Brazil,-10.917,-37.05,2020-03-20,1
Sao Paulo,Brazil,-23.55,-46.633,2020-03-20,110
Tocantins,Brazil,-10.184,-48.334,2020-03-20,0
Brazil,Brazil,-14.2,-51.9,2020-03-20,331
Acre,Brazil,-9.975,-67.81,2020-03-21,4
Alagoas,Brazil,-9.666,-35.735,2020-03-21,1
Amazonas,Brazil,-3.1,-60.017,2020-03-21,4
Amapa,Brazil,0.034,-51.066,2020-03-21,0
Bahia,Brazil,-12.975,-38.477,2020-03-21,7
Ceara,Brazil,-3.728,-38.528,2020-03-21,16
Distrito Federal,Brazil,-15.794,-47.883,2020-03-21,21
Espirito Santo,Brazil,-20.289,-40.308,2020-03-21,10
Goias,Brazil,-16.667,-49.25,2020-03-21,2
Maranhao,Brazil,-2.528,-44.304,2020-03-21,1
Minas Gerais,Brazil,-19.917,-43.933,2020-03-21,17
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-21,4
Mato Grosso,Brazil,-15.596,-56.096,2020-03-21,1
Para,Brazil,-1.456,-48.504,2020-03-21,0
Paraiba,Brazil,-7.083,-34.833,2020-03-21,0
Pernambuco,Brazil,-8.05,-34.9,2020-03-21,2
Piaui,Brazil,-5.095,-42.8042,2020-03-21,0
Parana,Brazil,-25.417,-49.25,2020-03-21,7
Rio de Janeiro,Brazil,-22.911,-43.206,2020-03-21,10
Rio Grande do Norte,Brazil,-5.783,-35.2,2020-03-21,3
Rondonia,Brazil,-8.762,-63.904,2020-03-21,2
Roraima,Brazil,2.819,-60.671,2020-03-21,2
Rio Grande do Sul,Brazil,-30.033,-51.23,2020-03-21,26
Santa Catarina,Brazil,-27.612,-48.485,2020-03-21,17
Sergipe,Brazil,-10.917,-37.05,2020-03-21,3
Sao Paulo,Brazil,-23.55,-46.633,2020-03-21,63
Tocantins,Brazil,-10.184,-48.334,2020-03-21,1
Brazil,Brazil,-14.2,-51.9,2020-03-21,224
Acre,Brazil,-9.975,-67.81,2020-03-22,0
Alagoas,Brazil,-9.666,-35.735,2020-03-22,0
Amazonas,Brazil,-3.1,-60.017,2020-03-22,15
Amapa,Brazil,0.034,-51.066,2020-03-22,0
Bahia,Brazil,-12.975,-38.477,2020-03-22,14
Ceara,Brazil,-3.728,-38.528,2020-03-22,41
Distrito Federal,Brazil,-15.794,-47.883,2020-03-22,9
Espirito Santo,Brazil,-20.289,-40.308,2020-03-22,0
Goias,Brazil,-16.667,-49.25,2020-03-22,1
Maranhao,Brazil,-2.528,-44.304,2020-03-22,0
Minas Gerais,Brazil,-19.917,-43.933,2020-03-22,28
Mato Grosso do Sul,Brazil,-20.484,-54.615,2020-03-22,5
Mato Grosso,Brazil,-15.596,-56.096,2020-03-22,0
Para,Brazil,-1.456,-48.504,2020-03-22,2
Paraiba,Brazil,-7.083,-34.833,2020-03-22,0
Pernambuco,Brazil,-8.05,-34.9,2020-03-22,4
Piaui,Brazil,-5.095,-42.8042,2020-03-22,2
Parana,Brazil,-25.417,-49.25,2020-03-22,10
